URL,Image,Title,Collected by,Secondary Collectors,Scientific name,Associated Taxon,Date collected Verbatum,Formatted Date Collected,Country,First Political Unit,Second Political Unit,City,Detailed Locality,Elevation,Collection name,Collection Number,Latitude,Longitude,Additional Notes
http://fm-digital-assets.fieldmuseum.org/2537/559/C2077574F.jpg,C2077558F.jpg,Cryptogamic Herbarium Field Museum of Natural History,F. L. Herrera,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,01/1927 (Exact day is not provided),Peru,N/A,N/A,N/A,Valle del Paucar Tenbo,3500 meters,Herbarium of the New York Botanical Garden Elizabeth Gertrude Britton Moss Herbarium,N/A,N/A,N/A,N/A
http://fm-digital-assets.fieldmuseum.org/2537/560/C2077575F.jpg,C2077559F.jpg,Bryophyta of Ecuador,N/A,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,N/A,Ecuador,N/A,N/A,Sayausí,"Area Nacional de Recreación ""Cajas"", forested hills south of ""Surrocucho"" (Laguna Llaviucu), south of Sayausí",2555 meters,Field Museum of Natural History Cryptogamic Herbarium,70-8163,N/A,N/A,N/A
http://fm-digital-assets.fieldmuseum.org/2537/561/C2077576F.jpg,C2077560F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,08/12/1978,Ecuador,Azuay,County N/A,N/A,"Area Nacional de Recreacion ""Las Cajas"", forested hill south of ""Surocucho"" (Laguna Llaviuco), 5 kilometers south of Sayausi",3230 meters,N/A,78-3139,N/A,N/A,N/A
http://fm-digital-assets.fieldmuseum.org/2537/562/C2077577F.jpg,C2077561F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,30 October 1978,30/10/1978,Ecuador,Azuay,N/A,Cuenca,"""Cerro Urcuca"", ca. 2 kilometers south of Cumbe",3000 meters,Field Museum of Natural History Cryptogamic Herbarium,78-2183,03°07'S,N/A,N/A
http://fm-digital-assets.fieldmuseum.org/2535/382/C2079898F.jpg,C2077562F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,Hedwigia ciliata (Hedwig) P. Beauv.,N/A,N/A,30/10/1978,Ecuador,Azuay,N/A,Cuenca,"Cerro Uruccaca, approximately 2 kilometers south of Cumbre, south of Cuenca",3000 meters,N/A,78-2150,03°07'S,79°01'W,N/A
http://fm-digital-assets.fieldmuseum.org/2535/386/C2079899F.jpg,C2077574F.jpg,Flora Surinamensis,N/A,R. Zieltjens,Pilotrichum chlorophyllum (Swartz) C. Muller,N/A,N/A,03/11/1981,Suriname,N/A,N/A,N/A,"Area of Kabalebo Dam project, along Mckenzie line 117 kilometers from road km 39.5, 5 kilometers 50 meters southeast",0 - 50 meters,Field Museum of Natural History Cryptogamic Herbarium,5254,N/A,N/A,N/A
http://fm-digital-assets.fieldmuseum.org/2535/388/C2079900F.jpg,C2077575F.jpg,Flora Surinamensis,J. F. Morales,"M. de Waard, R. Zielman",Pilotrichum chlorophyllum (Montagne) Mitt.,N/A,30-10-1981,30/October/1981,Suriname,Nickerie,County N/A,N/A,"Habitates of Kabalebo Dam Project, line W from road 34 km, point 5E/5W on map",0 - 50 meters,Herbarium of the Field Museum of Natural History Cryptogamic Herbarium,5098,N/A,N/A,N/A
http://fm-digital-assets.fieldmuseum.org/2535/392/C2079905F.jpg,C2077576F.jpg,Field Museum of Natural History Cryptogamic Herbarium,J. C. Lindeman,"A. A. Gerold-Torvik, M. Jansen-Jacobs, A. L. T. Hetterscheid & Collantes",Philonotis chlorophylla (Hornsch.) C. Müll.,N/A,N/A,3/9/1980 - 7/9/1980,Suriname,Nickerie,N/A,N/A,Area of Kabalebo Dam Project,30 - 130 meters,Herbarium Academiae Rheno-Traiectinae,243 A,4°50' North,57°30' West,N/A
http://fm-digital-assets.fieldmuseum.org/2535/394/C2079906F.jpg,C2077577F.jpg,Field Museum of Natural History Cryptogamic Herbarium,J. Florschütz-de Waard,R. Zielman,Pilotium chlorophyllum (Hornsch.) C. Müll.,N/A,N/A,31/10/1981,Suriname,District Nickerie,County N/A,N/A,"Kabalebo River area, 1 mile west from road km 34",0-50 meters,The Field Museum,R. Zielman 5141,N/A,N/A,N/A
http://fm-digital-assets.fieldmuseum.org/2535/398/C2079907F.jpg,C2079898F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,Kindbergia praelonga (Hedw.) Ochyra,N/A,N/A,21-22/11/1978,Ecuador,Imbabura,N/A,N/A,"East side of Cerro Cotacachi, 0.2 miles North of Otavalo",3750 meters,Field Museum of Natural History Cryptogamic Herbarium,78-6284,N/A,N/A,N/A
