Image,Title,Collected by,Scientific name,Associated Taxon,Date collected Verbatum,Formatted Date Collected,Country,First Political Unit,Second Political Unit,City,Detailed Locality,Elevation,Collection name,Collection Number,Latitude,Longitude,Additional Notes
C2077574F.jpg,Flora Surinamensis,"J. F. Florenczit, de Waard, and R. Ziemann",Pilotrichum chlorophyllum (Hornsch.) C. Müller,N/A,N/A,3/November/1981,Surinam,N/A,N/A,N/A,"Area of Kabalebo Dam project, airstrip Mckenzie line 11M from road km 39.5, P. 51 SM 50M, SE, Savannah forest, on rotting logs",0 - 50 meters,Herbarium of the Academy of Natural Sciences of Philadelphia Rhenotraiectum,5254,N/A,N/A,N/A
C2077575F.jpg,Flora Surinamensis,"J. Florence, J. de Waard, R. Zieltman",Pilotrichum chlorophyllum (Hornsch.) Mitt.,N/A,N/A,03/10/1981,Suriname,Nickerie,County,N/A,"Awaress of Kabalebo Dam Project, 34 km S, 58°W on, cutting logs",0 - 50 meters,Field Museum of Natural History Cryptogamic Herbarium,5098,N/A,N/A,N/A
C2077576F.jpg,Flora Surinamensis,"J.C. Lindeman, A.C. de Roon, M.J. Jansen-Jacobs and A.L. Stoffers",Pilotrichum chlorophyllum (Hornsch.) C. Müll.,N/A,N/A,3/7/1980,Suriname,Nickerie,N/A,N/A,"Area of Kabalebo Dam Project, Forest of km 28, epiphyte on tree trunk",30 - 130 meters,FIELD MUSEUM OF NATURAL HISTORY CRYPTOGRAMIC HERBARIUM,243 A,4°50'N,57°30'W,N/A
C2077577F.jpg,Field Museum of Natural History Cryptogamic Herbarium,J. Florschütz-de Waard and R. Zielemann,Pilotsum Chrolophyllum,N/A,N/A,31/10/1981,Suriname,District of Nickerie,County N/A,N/A,"Kabalebo river area, 1 mile west from road km 34",0-50 meters,"Bryophyta Neotropica Exsiccata (BNE) Fascicle III (1988), edited by S. Rob Gradstein, distributed by The Institute of Systematic Botany, Utrecht",5141,N/A,N/A,N/A
C2077578F.jpg,Bryophyta Neotropica Exsiccata,J and P A Florschütz,Pilotrichum chlorophyllum (Hornsch.) C. Muell.,N/A,N/A,18/12/1975,Suriname,Sipaliwini,County N/A,N/A,"Brownsberg, trail to Leo Val",approximately 500 meters,Field Museum of Natural History Cryptogamic Herbarium,1065613,N/A,N/A,N/A
C2077579F.jpg,Bryophyta neotropica exsiccata,H. Cornelissen & S. R. Gradstein,N/A,N/A,8 March 1977,08/03/1977,Guyana,N/A,N/A,N/A,"Mabura Hill, 180 kilometers south of Georgetown",0 - 50 meters,N/A,076,5°20'N,58°40'W,N/A
C2077580F.jpg,Flora Neotropica,Arthur C. Smith,Sphaerophyllum obtusifolium Horwitz,N/A,March 1941,01/03/1941,Panama,N/A,N/A,El Llano,"El Llano, Carti Road, 11-17 miles northeast of El Llano",N/A,Herb. Sullivanet,1321,N/A,N/A,N/A
C2077581F.jpg,Plantae Colombiane,Richard Evans Schultes and Isidoro Cabrera,Pilotrichum chlorophyllum (Hornsch.) Jaeg.,N/A,N/A,N/A,Colombia,N/A,N/A,Mitu,Mitu and vicinity,N/A,Field Museum of Natural History Cryptogamic Herbarium,1055492,1° 0' N,70° 0' W,N/A
C2077582F.jpg,Plantae Colombiane,Richard Evans Schultes and Isidoro Cabrera,Pilotrichum chlorophyllum (Hornsch.) C. Müller,N/A,"October 4-6, 1951",4/10/1951 - 6/10/1951,Colombia,Vaupés,N/A,N/A,"Rio Kuduyarí (affluent of Río Vaupés), Yapobodá, quartzite savannah.",N/A,The Field Museum of Natural History Cryptogamic Herbarium,14294,N/A,N/A,"Explorations carried out for the Division of Rubber Plant Investigation, Bureau of Plant Industry, Soils and Agricultural Engineering, United States Department of Agriculture in cooperation with the Caja de Crédito Agrario of Colombia and the Instituto de Ciencias Naturales, Universidad Nacional, Colombia. (Collected in Collaboration with Instituto de Ciencias Naturales, Bogotá)"
C2077583F.jpg,Bryophyta Colombiae,Richard Evans Schultes,Pilotrichum chlorophyllum (Hornsch.) C. Müll. in Broth.,N/A,N/A,06/1951,Colombia,Vaupés,N/A,N/A,"Comisaría del Vaupés, Río Apaporis, Soratama",N/A,Field Museum of Natural History Cryptogamic Herbarium,1055490,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
