Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessURI
0210_V0573776F.jpg,E. Heller & J.E. McLain,E. Heller,J.E. McLain,8252,"Jan. 16 to Feb. 19, 1906",1906-01-16,1906-02-19,Cyperus maculatus Boeck.,Cyperus maculatus Boeck.,L. Kükenthal,19.10.1927,N/A,Congo Free State,N/A,N/A,N/A,"Rhino Camp"", ""Rubber Lojelu Island, Lake Edward","""Rhino Camp"", Rubber Lojelu Island, Lake Edward",N/A,N/A,N/A,463860,Mix of Handwritten and Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg
0211_V0576008F.jpg,F. G. Overlaet,F. G. Overlaet,N/A,19234,N/A,N/A,N/A,Habenaria ,Habenaria,Borge Pettersson,1984,N/A,Belgian Congo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,752356,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2437/184/V0576008F.jpg
0247_V0576279F.jpg,R.A. Maas Geesteranus,R.a. maas geesteranus,N/A,4924,dd. 14-IV 1919,1919-04-14,N/A,Pycreus sanguinolentus (Vahl) C.B.Cl.,Pycreus sanguinolentus (Vahl) C.B.Cl.,N/A,N/A,"Dombeya mastersii, Olea hochstetteri",Kenya,Nyanza Province,Londiani Distr.,N/A,"Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I","Londiani District, Tinderet Forest Reserve, Camp I","Glade surrounded by rather open, tall forest",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2433/678/V0576279F.jpg
0231_V0577013F.jpg,J.M. de la Mensbruge,J.m. de la mensbruge,N/A,20125,d.d. 3-2-56,1956-02-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum var. scaberulum,Olga Kosevosky,2011,N/A,Gabon,N/A,N/A,N/A,"Primary rain forest, ca. 6 km NW of Oveng, chantier Rougier Océan.","Primary rain forest, approximately 6 kilometers northwest of Oveng, chantier Rougier Ocean",Primary rain forest,N/A,04 1N x 11 07 E,N/A,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2437/413/V0577013F.jpg
0221_V0577892F.jpg,Carvalho 2102,Carvalho,N/A,2102,26-VII-1980,1980-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & M.A. Rivas Ponce (UAM),1995,N/A,Equatorial Guinea,Bioko,N/A,N/A,"*Malabo, finca las Carboneras, 32NMK7415, m. Bosque secundario y terrenos incultos","Malabo, finca las Carboneras",Bosque secundario y terrenos incultos,N/A,32NMK7415,2201108,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2434/201/V0577892F.jpg
0220_V0578553F.jpg,"C. Aedo, L. C. Pérez & C. Romero",C. Aedo,L. C. Pérez & C. Romero,2200806,5-II-1989,1989-02-05,N/A,Agrostis mannii (Hooker fil.) Stapf,Agrostis mannii (Hooker fil.) Stapf,Cebolla & M. A. Rivas Ponce,1989,N/A,Equatorial Guinea,Bioco,N/A,N/A,"cumbre del pico Basilé, 32NMJ7396, 2370 m. márgenes de la pista, Fernandéz",cumbre del pico Basilé,márgenes de la pista,2370 m.,32NMJ7396,N/A,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2437/617/V0578553F.jpg
0212_V0574052F.jpg,F. G. Overlaet,F. G. Overlaet,N/A,19324,N/A,N/A,N/A,Sansevieria subsp. aff. aethiopica,Sansevieria subsp. aff. aethiopica,N/A,1960,N/A,Belgian Congo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,752378,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2441/863/V0574052F.jpg
0225_V0577681F.jpg,C.J.P. Ssegeler,C.j.p. Ssegeler,N/A,2806,dd-23 October 1972,1972-10-23,N/A,Vernonia amygdalina Del.,Vernonia amygdalina Del.,G.J.H. Amshoff,1982,N/A,Ethiopia,Shewa,Nazareth,N/A,"On a rock from Methahara, on road to Nazareth, In full sun ca 1 km s.w.","On a rock from Methahara, on road to Nazareth, in full sun approximately 1 kilometer southwest","Erecht herb, about 90 cm high and 30 cm wide; Stem pale brown, near the top brownish-green; Leaves medium green, lower part quite warm midrib",ca: 925m,"8°56'N, 39°55'E",2302805,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2446/122/V0577681F.jpg
0218_V0597557F.jpg,N/A,N/A,N/A,48,25.VIII.2003,2003-08-25,N/A,Carduus nyassanus Fresen,Carduus nyassanus Fresen,N/A,N/A,N/A,"Pays: (Field not filled in, information missing or obscured)",Province: Sud-Kivu,Territoire: Kabare,N/A,Localité: Musisi,Musisi,N/A,Altitude: (Field not filled in),Coordonnées géographiques: (Field not filled in),No: 2257689,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2442/190/V0597557F.jpg
0208_V0594376F.jpg,J.M. Fay,J.m. fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana Hook.,J.M. Fay,N/A,N/A,Central African Republic,Manovo-Gounda-St. Floris,N/A,N/A,Vicinity of Camp Koumbala,Vicinity of Camp Koumbala,Park,600 m,08°29'N 21°12'E,"NCIF Wood 067B/0065, Bark 067B/0066, Root 067B/0067, Leaves 067B/0068",Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2452/643/V0594376F.jpg
